couldn't open "transcript": permission denied
# Reading pref.tcl
# //  Questa Sim-64
# //  Version 2023.3 win64 Jul 17 2023
# //
# //  Copyright 1991-2023 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //


pwd
# C:/questasim64_2023.3/examples
cd {\\thoth.cecs.pdx.edu\Home01\srisaiy\Downloads\team_8_Async_FIFO\team_8_Async_FIFO\M1\CLASS}
do run.do
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:55:10 on Apr 24,2024
# vlog -reportprogress 300 fifo_memory.sv 
# -- Compiling module FIFO_memory
# 
# Top level modules:
# 	FIFO_memory
# End time: 23:55:10 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:55:10 on Apr 24,2024
# vlog -reportprogress 300 r_pointer_empty.sv 
# -- Compiling module read_ptr_empty
# 
# Top level modules:
# 	read_ptr_empty
# End time: 23:55:10 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:55:10 on Apr 24,2024
# vlog -reportprogress 300 sync_r2w_w2r.sv 
# -- Compiling module sync_r2w
# -- Compiling module sync_w2r
# 
# Top level modules:
# 	sync_r2w
# 	sync_w2r
# End time: 23:55:11 on Apr 24,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:55:11 on Apr 24,2024
# vlog -reportprogress 300 w_pointer_full.sv 
# -- Compiling module write_ptr_full
# 
# Top level modules:
# 	write_ptr_full
# End time: 23:55:11 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:55:11 on Apr 24,2024
# vlog -reportprogress 300 testbench.sv 
# -- Compiling module async_fifo_tb
# 
# Top level modules:
# 	async_fifo_tb
